txt,lbl,prob_positve,user_id,clothes_id
chất_liệu cao_su hay sao ý,0,0.047130063176155,63,76
màu_sắc trắng,0,0.0329040735960006,83,97
đúng với mô_tả đúng,1,0.6358078122138977,43,71
chất ko giống tui tưởng_tượng nhưng_mà vậy cx đẹp đi êm vs giá ms lần đầu mua như_vậy là ok,1,0.9904633164405824,10,12
chất_liệu êm,1,0.9801300764083862,74,43
màu sắc đen_trắng,0,0.0333852805197238,85,47
đúng với mô_tả đúng,1,0.6358078122138977,5,97
hàng đi êm vừa_vặn chân,1,0.9872424602508544,11,86
nói_chung đẹp ạ mọi người nên mua nha,1,0.9926276803016664,30,38
d ch k l l sa x v n kh s x v,0,0.0364647358655929,69,86
chất_liệu nhựa,0,0.0374431982636451,11,49
màu_sắc trắng_đen,0,0.0324107967317104,20,36
đúng với mô_tả đúng,1,0.6358078122138977,57,11
đẹp quá_trời lun,1,0.9929220080375672,77,47
chất_liệu đẹp,1,0.9897521734237672,16,24
màu_sắc đúng mẫu,1,0.8390223979949951,22,72
dép đẹp đúng màu đúng mẫu giá dẻ lần sau ủng_hộ shop,1,0.9923726320266724,30,16
màu_sắc trắng_đen,0,0.0324107967317104,13,55
đúng với mô_tả đẹp tv,1,0.9758416414260864,2,45
chất_liệu cao_su,0,0.0517855510115623,60,9
"nhận hàng dẹp rất ưng_ý , giáo hàng n h anh , sẽ tiếp_tục ủng_hộ shop",1,0.9927363395690918,56,91
cho,1,0.6256162524223328,87,43
chất_liệu cao_su,0,0.0517855510115623,2,15
màu_sắc trắng,0,0.0329040735960006,37,24
đúng với mô_tả đúng,1,0.6358078122138977,70,100
chất_liệu nền đi êm chân thoải_mái đúng vs một tả,1,0.992845356464386,94,16
màu_sắc trắng_đen,0,0.0324107967317104,90,11
đúng với mô_tả đúng,1,0.6358078122138977,57,5
chất_liệu nhựa,0,0.0374431982636451,90,78
dép đẹp lắm nha m,1,0.989218771457672,83,70
n,0,0.0675678476691246,91,15
nó có vết keo nhưng ko sao vì mik mua với giá k là quá rẻ,1,0.5885291695594788,52,22
giao hàng nhanh,1,0.9721769690513612,47,14
chất_liệu tốt,1,0.9819064140319824,64,70
màu sắc đen_trắng,0,0.0333852805197238,19,20
đúng với mô_tả đúng,1,0.6358078122138977,96,52
mình thêm vài s ti c ke r vào trông rất ưng_ý,1,0.991613507270813,24,93
đúng với mô_tả đúng luôn,1,0.9587116241455078,30,62
chất_liệu đẹp,1,0.9897521734237672,25,8
màu sắc đen t rắn v,0,0.0833427533507347,21,43
trời_ơi mua vs giá k quá tuyệt_vời luôn chất đẹp hàng xịn dã_man,1,0.992912232875824,6,66
mua giá k cứ nghĩ chắc kh có mà ai_ngờ có thật,0,0.1298755705356598,48,95
sie dép hình_như nhỏ hơn bth nên mua số to để trừ_hao ạ,0,0.1499490886926651,72,90
chất_liệu cao_su,0,0.0517855510115623,13,63
màu_sắc trắng,0,0.0329040735960006,50,92
đúng với mô_tả đúng mẫu ạ,1,0.7359179258346558,49,59
đẹp cực luôn ý d b d k sn s s k sn s s k b d s sb d h,1,0.970027506351471,7,92
"chào_mừng bạn đến với bảng nhớ tạm của g boa r d , bất_kỳ văn_bản nào bạn sao_chép sẽ được lưu tại đây",1,0.8788611888885498,16,62
chất_liệu không biết,0,0.0280162431299686,33,73
màu_sắc trắng,0,0.0329040735960006,22,90
đúng với mô_tả rất rất đúng với miêu_tả,1,0.9920761585235596,50,46
"êm chân , mẫu_mã đẹp",1,0.992768406867981,75,7
quá tuyệt_vời dép đúng như hình mọi người ủng_hộ cho shop đi a,1,0.9929492473602296,10,55
than k you shop nhe,1,0.9926087260246276,99,20
"đẹp vừa_vặn , ổn , nhưng rất nồng mùi , rất khó chị u , nhưng tím lại sản_phẩm ok",1,0.9147903323173524,91,71
đánh_giá tiêu_chuẩn khá chi là ok nha nên đi săn và mua nó ngay đi,1,0.989351451396942,28,11
ang hàng khá đẹp mà đi hôm đã bay mất s ti ke r haa khộ ko chất_lượng cho lắm,0,0.0539703927934169,25,34
"đúng với mô tảo k lắm , đẹp lắm ạ",1,0.9895086288452148,32,83
chất_liệu chắc là cao_su,0,0.0371637493371963,81,12
màu_sắc đúng như trong hình,1,0.7151971459388733,97,82
hàng đc lắm mn ạ đáng tiền lắm mn ạ,1,0.9927518367767334,30,84
"giao hàng n h anh , đóng_gói cẩn , mình mua mà shop giao",0,0.0338735021650791,64,68
chất_liệu mềm,1,0.6927981376647949,73,33
màu_sắc tốt,1,0.9891502261161804,100,76
đúng với mô_tả đúng,1,0.6358078122138977,65,19
"hàng giao nhanh và đúng , sản_phẩm tốt , màu đẹp nha",1,0.9922807812690736,53,92
ưng_ý,1,0.9853722453117372,72,93
đã nhận đx hàng dép đẹp giá rẻ nhưng về dép bị móp méo đi mấy hôm rồi vẫn vây,0,0.0838061049580574,49,26
chất_liệu hơi cứng,0,0.0160569734871387,26,4
màu_sắc tốt,1,0.9891502261161804,81,79
đúng với mô_tả ko,0,0.3063646554946899,86,35
mik đặt dép đen_trắng gấu mà về hàng là dép trắng_trơn,0,0.0040443227626383,46,58
đúng với mô_tả hàng rất đẹp nha a,1,0.992257595062256,59,22
"hàng đúng hình_mẫu đẹp , đi êm",1,0.9927815794944764,7,55
tr oii dép xinh nhắm giao nhanh ship det h săn sa le k mà dị là quá là xúc_xích,1,0.7506919503211975,51,62
kem đặc_trị mụn trắng da c trị hết sạch mụn các loại mụn,1,0.8709892630577087,62,95
đặc_trị mụn đỏ mụn viêm mụn bọc mụn dị_ứng,0,0.0544264763593673,19,88
đặc_trị mụn đầu trắng mụn trứng_cá mụn cám nám tàn nhan,0,0.0678291469812393,43,34
đặc_trị mụn đầu đen mụn mảng thể nặng mụn ẩn,0,0.0420727282762527,66,63
ngăn_ngừa mụn trị thâm và mờ thâm do mụn để lại,1,0.8586753606796265,19,96
chỉ,0,0.0470645949244499,40,86
đúng với mô_tả đúng,1,0.6358078122138977,20,7
chất_liệu mềm,1,0.6927981376647949,72,1
màu sắc đen_trắng,0,0.0333852805197238,98,79
rất nhỏ so với shop đưa ra đề_cử mn nên lấy tăng sie nhé,0,0.0818262696266174,52,81
chất_liệu nhựa,0,0.0374431982636451,55,84
"màu sắc đen_trắng , gấu",0,0.0477805733680725,64,82
đúng với mô_tả đúng sie,1,0.7182119488716125,74,1
"đế cao , mang êm chân",1,0.991340696811676,11,74
chỉ là lúc đóng_gói hk có chống xóc nên hơi mất orm xíu,0,0.1244835406541824,92,2
mang ok,1,0.9675017595291138,96,34
chất_liệu chat liệu đ ư pb g k l l k n v c,0,0.0660307854413986,54,44
màu_sắc đẹp,1,0.9893948435783386,72,50
đúng như hình,1,0.7109262943267822,98,10
đúng với mô_tả có,0,0.4907273352146148,30,94
đã nhận được hàng,0,0.487544447183609,43,76
hàng rất đẹp,1,0.99291330575943,20,76
lần sau sẽ ủng_hộ tiếp,1,0.9894981384277344,74,13
"chất_liệu cao_su , xốp",0,0.0332035459578037,31,71
màu_sắc trắng_đen,0,0.0324107967317104,29,84
đúng với mô_tả đúng,1,0.6358078122138977,44,93
dép cao cm nên phù_hợp với mấy nàng nấm lắm nha,0,0.0414671637117862,60,66
hôm nào nên biết có phải xem với lượng dư_thừa biết đến với chúng có_thể như ế trong tủ_lạnh để e hỏi chủ ít đít nàng không có y i lo ve my xem với lượng nước nói tiếng anh t ư i u itu,0,0.0209026038646698,17,17
sản_phẩm đúng với hình_ảnh,1,0.8750908970832825,66,14
đẹp và rất vừa chân nha,1,0.9929333925247192,53,21
dép đi rất êm luôn ạ,1,0.992424488067627,9,36
mình không có ảnh thật nhưng mua đơn đầu có k nên mình không đòi_hỏi nhiều,0,0.1315587759017944,8,43
dép đẹp nhẹ shipper thân_thiện vui_tính sẽ quay lại mua các sản_phẩm khác đặt trưa qua trưa nay nhận đc luôn ngày,1,0.9929485321044922,82,81
đúng với mô_tả thiếu cái hình con gấu,0,0.0139657370746135,46,79
chất_liệu tốt,1,0.9819064140319824,62,50
màu_sắc trắng,0,0.0329040735960006,27,42
sản_phẩm đẹp nhưng_mà nếu có cái hình thì đẹp hơn,1,0.97225821018219,18,59
chất_liệu nhựa,0,0.0374431982636451,91,90
màu_sắc trắng_đen,0,0.0324107967317104,33,18
đúng với mô_tả đúng,1,0.6358078122138977,53,83
"sie to hơn sie bình_thường , nên mua giảm sie",0,0.0460687279701232,79,53
săn sản_phẩm đầu k với ngàn rữi ship là ngàn rữi nên rất hài_lòng,1,0.9927539229393004,17,73
chất_liệu cao_su,0,0.0517855510115623,57,72
màu_sắc trắng,0,0.0329040735960006,59,50
so đẹp lắm ạ sẻ ủng_hộ tiếp,1,0.992911159992218,10,93
hàng ko đúng mẫu,0,0.0056978296488523,56,69
ko có hình con gấu trên dép,0,0.0227176137268543,58,53
giao sai cỡ,0,0.0152688976377248,83,46
quá rộng,0,0.0088988710194826,72,73
b â h nan s sn s sn sn sn sn n sn sn s hy sb sb n,1,0.93803870677948,61,8
màu_sắc đỏ,0,0.0647682324051857,52,9
chất_liệu sắt,0,0.0471499003469944,90,77
đúng với mô_tả không,0,0.065168984234333,30,25
dép có đánh_giá để được xu hay gì thì cũng phải_biết cách đánh_giá,0,0.0495093166828155,27,24
chất_liệu tốt,1,0.9819064140319824,79,1
dép đẹp đi rất êm,1,0.9929311275482178,43,88
giao hàng nhanh thân_thiện,1,0.9762044548988342,13,1
đã v mua mất có k,0,0.0093667209148406,2,25
nói_chung quá là ok,1,0.9889348149299622,10,26
đúng với mô_tả đúng,1,0.6358078122138977,80,74
chất_liệu b t h,0,0.0419466309249401,85,42
màu_sắc trắng,0,0.0329040735960006,20,95
hình_ảnh chỉ mang tính_chất nhận xu,0,0.00414884602651,43,87
dùng cũng ok,1,0.9855668544769288,18,52
dùng rất thi k và rất đẹp cảm_ơn shop,1,0.9929174184799194,28,14
rất tuyệt_vời,1,0.99293315410614,58,6
chất_liệu chất_liệu cứng,0,0.013640028424561,49,73
màu_sắc giống với mô_tả,0,0.2605446279048919,82,47
đúng với mô_tả,1,0.5360592007637024,17,90
hàng cũng ok lắm mọi người ạ,1,0.9832711815834044,17,87
chất_liệu nhựa,0,0.0374431982636451,40,49
dép vừa luôn và đẹp nữa rất hài_lòng về sản_phẩm này sẻ ủng_hộ s ko p nữa,1,0.9929532408714294,55,29
"hàng giao nhanh chất_lượng thì rất ok cả nhà nhé giá hạt_dẻ rất đáng mua nhé , mình sẽ ủng_hộ shop dài_dài",1,0.9928874373435974,47,77
đúng với mô_tả đúng,1,0.6358078122138977,89,76
chất_liệu tốt,1,0.9819064140319824,14,100
màu_sắc tốt,1,0.9891502261161804,96,98
hàng ok nhưng mùi hơi nồng ut d x hg ap u q n ko a b k mang tính nhận xuu,0,0.0468147844076156,42,23
màu_sắc trắng,0,0.0329040735960006,99,85
đúng với mô_tả đúng,1,0.6358078122138977,21,70
chất_liệu tốt,1,0.9819064140319824,58,98
"sản_phẩm rất ok và rất là hợp với túi_tiền rẻ mà hàng rất chất_lượng shop giao hàng n h anh , nói_chung là rất hài_lòng ạ",1,0.9929260015487672,39,88
chất_liệu không biết,0,0.0280162431299686,84,78
màu_sắc trắng,0,0.0329040735960006,48,9
đúng với mô_tả đúng,1,0.6358078122138977,99,43
"mik mua dịp sa le nên rất rẻ , giao hàng nhanh đóng_gói kỹ với dép siu xinh luôn mà sie hơi bự xíu",1,0.9878528118133544,85,64
chất_liệu tốt,1,0.9819064140319824,88,57
màu_sắc trắng_đen,0,0.0324107967317104,58,65
"dép đẹp ngoài dự_đoán , cực_kì hài_lòng vs sản_phẩm",1,0.9929694533348083,56,9
"shipper thân_thiện , giao hàng nhanh và đóng_gói hàng cũng cực tốt",1,0.9925899505615234,31,19
chất_liệu silic on,0,0.0492684915661811,7,85
màu_sắc trắng,0,0.0329040735960006,10,39
đúng với mô_tả đúng vs mô_tả,1,0.5188019275665283,74,31
sợ đẹp đánh_giá sao,0,0.0668689981102943,98,99
chất_liệu được ạ,1,0.9647997617721558,64,65
màu_sắc đẹp,1,0.9893948435783386,68,32
sản_phẩm đg như mô_tả màu_sắc ok,1,0.9339695572853088,51,81
"đặt đen_trắng gấu mà shop giao đen_trắng , đặt sie mà giao",0,0.004345086403191,28,36
hàng siêu xịn mọi ng ui shop uy_tín chất_lượng ship hàng nhanh đáng mua nha mọi ng,1,0.992936074733734,58,78
"mua sie thì chật , sang thì rộng",0,0.0083738164976239,21,63
đi khá êm chân,1,0.98244309425354,3,77
dép xinh kinh_khủng g,1,0.9890050292015076,39,72
"mình đi sie nhưng sie này có_vẻ hơi rộng , mn nên chọn lùi về sie",0,0.0794223174452781,48,68
giá rẻ mà xinh lắm luôn,1,0.9928807020187378,76,62
giống y dép mình mua k ở shop đế dày và êm chân lắm ý,1,0.9924658536911012,67,54
sẽ ủng_hộ shop thêm,1,0.9907591342926024,61,89
"chất liệudép , hơi xốp",0,0.0323872826993465,64,75
"màu sắc đen_trắng , có hoạ_tiết",0,0.1351866126060485,16,87
"đúng với mô_tả cũng đúng , n h mà k êm lắm , đ nên cũng k dám nói dì nhìu",1,0.8166691064834595,39,55
chất_liệu e va,0,0.049017135053873,92,14
màu_sắc trắng_đen,0,0.0324107967317104,13,45
đúng với mô tản hận đúng sản_phẩm,0,0.142807587981224,55,32
"nhận đúng hàng như quản cáo , hên là e săn đc sa le nên giá rẻ bất_ngờ , vui lắm , rẻ nhưng vẫn nhận hàng đẹp ạ",1,0.9928552508354188,33,98
"đúng với mô_tả dép đẹp , màu rõ nét , giao hàng nhanh",1,0.9905133247375488,64,30
chất_liệu tốt,1,0.9819064140319824,36,33
"lên mua ạ , dép đẹp , giao hàng nhanh",1,0.9920634627342224,71,95
đúng với mô_tả dép cứng,0,0.0057547106407582,98,40
chất_liệu nhựa,0,0.0374431982636451,5,64
màu_sắc trắng,0,0.0329040735960006,34,42
những hàng như này shop k nên bán cho khách nữa,0,0.0045891930349171,28,55
hàng lỗi k chấp_nhận được,0,0.0540487393736839,60,89
chất_liệu nhựa,0,0.0374431982636451,31,23
màu_sắc trắng,0,0.0329040735960006,56,55
sản_phẩm này okk nha hình_ảnh chỉ mang tính_chất nhận xuu,0,0.4687802493572235,39,80
"ok e , mua sa le nên giá rẻ , nhưng k được giảm ship nên hơi pùn , giao hàng nhanh",1,0.6700595617294312,72,48
đúng với mô_tả đúng,1,0.6358078122138977,49,42
chất_liệu ok,1,0.9762645959854126,84,6
màu_sắc ok,1,0.9877118468284608,88,24
đẹp nên mua nha mấy en,1,0.992516815662384,8,49
sản_phẩm đẹp tuyệt_vời rất giống hình minh_hoạ giá_thành hợp_lý,1,0.9928715825080872,59,93
hàng đúng hình_ảnh,1,0.8113436102867126,13,73
hình_ảnh mang tính_chất nhận xu,0,0.0270114745944738,8,76
nhưng với giá này thì rất hài_lòng,1,0.9913522005081176,4,35
"chất_liệu xốp , nhẹ , không được bền , hơi mùi nhựa lắm",0,0.0262744352221488,84,77
hình_ảnh chỉ để nhận xu,0,0.0038095293566584,94,8
đúng với mô_tả đúng mô_tả,1,0.7273354530334473,38,91
chất_liệu tốt,1,0.9819064140319824,23,13
màu_sắc đẹp,1,0.9893948435783386,81,60
rất đẹp,1,0.992908239364624,38,60
chất_liệu cao_su,0,0.0517855510115623,96,26
màu_sắc trắng_đen,0,0.0324107967317104,65,32
đúng với mô_tả,1,0.5360592007637024,70,15
mua lần đầu giá o,0,0.3077967762947082,47,16
không ngờ đẹp hơn mong_đợi,1,0.992851495742798,50,63
hơi mùi xíu nhưng không sao,0,0.2805585563182831,83,65
chất_liệu dép xốp,0,0.0330298990011215,85,61
màu_sắc trắng,0,0.0329040735960006,72,18
đúng với mô_tả đúng với ảnh shop đăng,1,0.7009899616241455,21,15
dép đẹp chuẩn ảnh chuẩn sai,1,0.9927815794944764,5,30
chất_liệu ko bt,0,0.0160449240356683,47,34
màu_sắc trắng,0,0.0329040735960006,31,25
đúng với mô_tả đúng,1,0.6358078122138977,48,46
nên mua,1,0.9908403754234314,44,53
màng bọc thực_phẩm set có chun co_dãn tái_sử_dụng kèm túi gấu,0,0.396960437297821,13,63
màu sắc đen,0,0.04629897326231,15,56
đúng với mô_tả đúng,1,0.6358078122138977,7,3
chất_liệu chất_liệu rất tốt,1,0.9921252131462096,11,67
"video và hình_ảnh chỉ để lấy x u , hàng cũng uki nha mọi người , mùi hơi nồng xíu",0,0.2597618699073791,74,88
đúng với mô_tả đúng ok k la,1,0.7244377136230469,83,49
chất_liệu cao_su mềm,0,0.0718568414449691,63,14
màu sắc đen_trắng,0,0.0333852805197238,81,95
"hàng rẻ mà chất_lượng quá_trời luôn , vừa y luôn , dép đẹp không bị lỗi gì hết , giao hàng nhanh",1,0.9929446578025818,17,31
"tóm_lại , tất_cả đều tốt nha , sẽ ghé ủng_hộ shop tiếp , chứ mê quá",1,0.992839217185974,12,31
"nói_chung là hàng đẹp , màu xinh",1,0.9918642044067384,98,27
mình chọn sie hơi nhỏ nên là_hơi chật một_tí xíu nma vẫn đi được rất tốt,1,0.6534329652786255,13,12
"mình mua được lúc hàng đang sa le , giá khá rẻ",1,0.9106847643852234,50,22
quá hài_lòng,1,0.992849349975586,85,25
chất_liệu nhựa,0,0.0374431982636451,13,66
màu_sắc trắng,0,0.0329040735960006,34,61
đúng với mô_tả đúng,1,0.6358078122138977,27,31
tao cx á hạ hay sao mà_còn phải có cái gì cũng_nên có cái gì cũng_nên có cái gì cũng_nên có,0,0.004644984845072,3,24
hàng rất đẹp,1,0.99291330575943,31,76
"dép xinh lắm , ship cũng nhanh điểm cho shop",1,0.9926432967185974,44,3
đúng với mô_tả sao,0,0.0683809667825698,9,30
chất_liệu nhựa,0,0.0374431982636451,20,36
màu_sắc trắng,0,0.0329040735960006,23,69
k ko đòi_hỏi tốt sip pơ thân_thiện,1,0.5213661789894104,4,79
rất đáng sao,1,0.9929088354110718,31,15
chất_liệu tốt,1,0.9819064140319824,5,94
màu_sắc trắng,0,0.0329040735960006,80,13
đúng với mô_tả đúng,1,0.6358078122138977,2,27
ảnh mang tính chat nhạn xu,0,0.4159678816795349,11,21
dép đẹp chất_liệu tốt cộng với anh si p pe r vui_tính nên cho sao,1,0.9929412603378296,23,7
về diện_mạo khác hoàn_toàn so với sản_phẩm đặt mua,0,0.0044957967475056,65,62
về kích_cỡ bị chật hơn so kích_cỡ đặt,0,0.0341310836374759,66,76
đúng với mô_tả đúng thi ệ c,1,0.5227508544921875,73,85
chất_liệu tốt,1,0.9819064140319824,59,58
nên mua nha,1,0.992384433746338,12,56
chất_liệu tốt,1,0.9819064140319824,50,72
màu_sắc trắng,0,0.0329040735960006,6,23
sản_phẩm đẹp hơn nhiều,1,0.992853820323944,60,49
chất_liệu mềm sơ_sơ,0,0.0955116972327232,75,22
màu sắc đen_trắng,0,0.0333852805197238,48,23
đúng với mô_tả,1,0.5360592007637024,97,46
rẻ mà xịn vãi ra ý,1,0.9927629828453064,67,95
hàng oke lắm nha mm nhưng_mà hình dán hơi lệch,0,0.3694002032279968,54,32
hơi chật tý,0,0.1221981197595596,15,3
ai đi thì nên mua,1,0.9734459519386292,1,13
chất_liệu cao_su,0,0.0517855510115623,98,4
"màu sắctrắng , đen",0,0.0370602905750274,64,13
đúng với mô_tả dép ở ngoài giống y hình,1,0.6503196954727173,2,78
hình_ảnh chỉ mang tính_chất nhận xu,0,0.00414884602651,11,61
sản_phẩm giống qc,0,0.1632959395647049,77,58
chất_lượng nhìn bằng mắt thường thì thấy ok,1,0.9236988425254822,23,87
"chất_liệu oke e , su , rất em chân",1,0.9922243356704712,8,92
màu_sắc đúng vs mô_tả,0,0.4866476356983185,92,90
đúng với mô tảo ke e la,0,0.0745921209454536,34,10
"nên mua , hàng oke e lắm",1,0.992201328277588,33,46
"nên mua nhỏ lại si e , sau_này còn gián ra nữa a",1,0.938828706741333,47,21
"mik si e , đặt vừa đẹp",1,0.9929249286651612,25,38
"màu sắcđẹp , đúng mô_tả",1,0.9922611117362976,62,11
đúng với mô_tả đúng,1,0.6358078122138977,47,47
"hàng đẹp , lại nhận ngay trong đợt sa le nên rất rẻ cho một đôi chất_lượng như nà y , chân mang mà đặt nên hơi có chút rộng với chân tự_cảm bản_thân này_nọ thật , tổng_quan lại là hàng đẹp , siêu rẻ , nên mua",1,0.992917537689209,58,81
màu_sắc trắng,0,0.0329040735960006,7,36
đúng với mô_tả đúng,1,0.6358078122138977,41,6
dép đẹp lắm nha nhưng tui mua sie to nhất rồi mà vẫn bị chật những bạn chân mà to thì nên lưu_ý nha,1,0.9329358339309692,4,15
"đúng với mô tảk đúng , dép trơn k có hình con gấu trên quai dép",0,0.1445134133100509,12,47
chất_liệu xốp hơi cứng,0,0.0154514852911233,92,27
màu_sắc trắng_trơn k giống hình,0,0.0545413196086883,85,95
cũng được vì giá tiền cũng hợp_lý,1,0.9175841808319092,96,98
ship oke,1,0.8941326141357422,62,94
chất vải đẹp nên mua nha mng b d sn a d n c k x,1,0.9827218651771544,57,59
mặc siêu đẹp nha các chế,1,0.9925166964530944,53,71
cho shop này điểm về chất_lượng,1,0.9922823309898376,81,20
sie s mình cao m nặng kg mặc vừa in,0,0.0371819026768207,96,55
chắc sẽ chọn sie m lần sau phòng béo lên ka ka,0,0.1164499148726463,36,8
hình_ảnh chỉ mang tính_chất nhận xuu,0,0.0039272890426218,13,80
h h di d de i d n d di d d,0,0.0520760677754879,44,12
quần rất xinh nha mọi người,1,0.9922312498092652,43,1
"đùi to mông to lên video nhìn hơi thô chút , nhưng ở ngoài xinh lứm",1,0.9579866528511048,12,52
chất_lượng quá đỉnh cho một chiếc quần c ạ,1,0.9927813410758972,43,77
"mình cao m , nặng kg mặc sie m bụng hơi rộng xíu xiu còn lại là vừa in nha",0,0.3336039781570434,80,79
lần đầu mình đặt mà thấy ưng quá tr luôn á,1,0.9926882982254028,65,31
"mình cao m kg mặc qua mắt_cá chân hơi rộng eo nữa ạ , vải kh dày cũng kh mỏng , nchung là cũng đc , shop còn cho miếng làm thơm quần_áo nữa",1,0.9816216826438904,54,77
mặc lên chân dài lắm mng ơi quần chất rất xinh nu ôn á còn đc tặng tất nữa,1,0.9928829669952391,94,16
có giấy thơm nữa nên thơm_phức,1,0.9929174184799194,68,16
shop gói hàng có tâm quá ạ,1,0.9888988137245178,32,12
quần dày_dặn,1,0.9601934552192688,63,10
"mặc lên đẹp nha , gầy hay béo mặc lên cũng đẹp hết á , nói_chung hết nước ch ấm , ship e r thái_độ nhiệt_tình oki ổn , nên mua",1,0.9929407835006714,72,8
"chất vải cũng o k , nhưng nhầm sie s thành sie sl",0,0.047137577086687,88,12
rất ok xinh_đẹp tuyệt_vời sẽ quay lại sau shop bán hàng rất là xinh_đẹp p hình_ảnh minh_hoạ thôi ạ,1,0.9929307699203492,24,93
váy đẹp lắm ạ,1,0.9922924041748048,82,93
